metros_cuadrados,num_habitacion,num_banos,zona_id,parking,piscina,precio_eth
132,4,4,6,0,0,0.0822
244,3,3,7,1,0,0.085349
31,4,3,3,0,0,0.09474
51,5,4,4,0,0,0.085932
217,3,2,1,1,0,0.156802
50,1,1,6,0,1,0.073184
119,5,4,2,1,0,0.131373
204,3,2,7,0,0,0.079197
83,2,1,7,0,1,0.085183
219,4,3,6,1,0,0.098208
219,5,4,6,1,0,0.112366
217,4,4,2,0,0,0.142988
117,1,1,3,0,0,0.098182
192,1,1,2,0,0,0.120992
101,4,3,6,0,0,0.080588
201,3,3,7,1,0,0.094799
247,3,3,5,1,0,0.096949
125,1,1,3,1,0,0.105151
172,3,3,4,0,0,0.091919
95,2,2,5,0,0,0.070682
113,3,2,4,1,1,0.104833
150,3,2,4,0,0,0.088069
184,1,1,4,0,0,0.097755
147,1,1,10,0,1,0.075078
159,3,3,4,0,1,0.123005
249,5,4,3,1,0,0.133119
189,4,4,7,1,0,0.091417
145,2,1,7,0,0,0.064645
216,5,5,1,1,0,0.1658
176,4,3,4,0,1,0.117415
133,1,1,9,0,0,0.068077
128,4,3,5,1,0,0.089336
77,4,4,4,1,0,0.099021
77,3,2,6,1,0,0.072063
229,4,3,4,1,0,0.125449
182,5,4,6,0,0,0.093869
198,4,4,3,0,0,0.114167
165,3,3,5,0,0,0.089269
51,5,5,7,1,0,0.085145
57,1,1,6,0,0,0.063855
46,4,3,8,1,0,0.07987
66,5,5,101,1,0,0.238925
242,1,1,4,1,0,0.110732
96,2,1,4,1,0,0.088233
247,1,1,4,1,0,0.099803
55,3,2,5,1,1,0.096929
202,4,4,2,0,0,0.138759
172,4,3,1,0,0,0.144995
92,5,4,1,1,0,0.160743
83,3,2,4,0,0,0.095861
132,4,3,5,0,0,0.08898
81,5,4,7,1,0,0.082154
121,2,2,2,0,0,0.109113
169,5,5,4,0,0,0.109366
77,1,1,5,1,0,0.078491
98,5,5,3,0,0,0.103769
58,4,4,10,0,0,0.065548
173,2,1,3,1,0,0.109334
52,2,1,4,1,1,0.092654
176,2,1,3,1,0,0.101558
31,1,1,6,1,1,0.079188
153,1,1,6,1,0,0.083211
197,2,2,2,0,0,0.106901
64,1,1,1,0,0,0.129886
134,4,3,8,1,0,0.088892
50,5,5,6,1,0,0.089235
128,4,3,8,0,0,0.077244
41,1,1,2,1,0,0.11421
91,4,3,2,0,0,0.105368
218,1,1,10,0,0,0.077508
112,2,2,6,0,0,0.071864
242,4,4,2,1,0,0.140643
196,2,2,7,1,0,0.09253
38,2,1,2,1,0,0.112757
199,1,1,5,1,0,0.083589
165,5,5,9,1,0,0.096237
65,4,4,7,1,0,0.077404
48,3,3,2,0,0,0.100136
90,1,1,10,1,0,0.064641
142,1,1,7,1,0,0.081292
202,5,5,102,1,0,0.200515
176,4,4,6,1,0,0.094632
146,3,2,10,1,1,0.086508
131,4,3,3,1,0,0.115753
215,4,3,4,0,0,0.10491
220,1,1,6,0,0,0.071711
75,3,3,6,1,0,0.08714
39,2,2,4,0,0,0.085287
206,3,3,8,1,0,0.090331
190,2,2,2,1,0,0.134762
238,5,5,6,1,1,0.127204
231,2,2,2,0,0,0.132752
234,4,3,1,1,0,0.152788
68,2,1,5,1,0,0.083708
83,4,4,6,0,0,0.077888
180,5,5,9,1,0,0.098251
67,2,1,2,1,0,0.11634
195,1,1,5,1,0,0.091375
58,4,3,4,1,0,0.097397
63,5,4,3,0,0,0.09774
180,3,2,6,1,0,0.087329
125,3,3,3,1,0,0.102624
34,2,1,5,0,0,0.06726
41,2,1,6,0,0,0.056287
76,1,1,9,0,1,0.066227
55,4,4,101,0,0,0.248808
85,2,1,7,0,0,0.057616
85,3,3,7,1,0,0.071128
47,2,1,4,1,0,0.084962
231,1,1,2,0,0,0.125815
241,1,1,5,0,0,0.085923
243,2,2,2,1,0,0.125239
35,4,3,5,1,0,0.082019
150,1,1,3,0,0,0.090883
104,1,1,6,0,0,0.071794
35,2,1,7,1,1,0.077554
208,1,1,4,1,0,0.105601
99,2,1,7,1,0,0.073335
30,2,1,3,0,0,0.088166
32,1,1,2,0,0,0.106286
42,2,1,7,0,0,0.060332
181,3,2,7,0,1,0.091397
146,3,3,9,0,0,0.077906
89,5,4,7,1,0,0.092551
194,5,5,4,1,0,0.127762
118,2,1,8,1,0,0.075119
126,1,1,5,0,0,0.066673
133,3,3,6,0,1,0.090123
221,4,4,7,1,0,0.098521
186,1,1,3,1,0,0.102653
95,2,2,8,1,0,0.067315
138,4,3,5,1,0,0.093467
202,2,2,5,1,0,0.088954
98,4,4,3,1,0,0.113538
119,3,2,2,1,0,0.115571
133,4,4,6,1,0,0.098906
101,2,2,5,1,0,0.087449
69,1,1,3,1,0,0.090884
193,1,1,6,1,0,0.08054
230,5,5,6,0,0,0.090347
54,2,2,5,1,0,0.085395
157,3,3,3,1,0,0.116162
227,5,4,4,0,0,0.105825
143,5,5,3,0,1,0.129549
249,5,4,2,1,0,0.151724
152,3,2,1,0,0,0.138223
197,3,2,5,0,0,0.088707
142,2,1,3,1,0,0.115493
132,3,2,5,0,1,0.10241
84,4,3,1,1,0,0.137126
245,3,3,7,0,0,0.080939
126,4,4,101,1,0,0.26751
75,3,2,3,0,0,0.093946
205,2,2,8,1,0,0.077663
176,4,4,7,1,1,0.104196
159,3,3,4,0,0,0.102629
166,2,2,7,0,1,0.082223
231,3,2,5,1,0,0.099748
38,2,2,6,1,0,0.070577
